trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount
2006-01-04,399300.SZ,941.428,926.559,941.428,926.412,923.451,17.977,1.9467,21126899.0,11442608.327
2006-01-05,399300.SZ,959.134,943.85,959.625,942.308,941.428,17.706,1.8808,27311743.0,14693493.72
2006-01-06,399300.SZ,970.032,961.915,975.628,956.04,959.134,10.898,1.1362,30286368.0,16170989.866
2006-01-09,399300.SZ,975.253,971.089,976.273,966.053,970.032,5.221,0.5382,24329552.0,12626400.277
2006-01-10,399300.SZ,978.154,975.282,978.277,964.43,975.253,2.901,0.2975,22735302.0,12344022.953
2006-01-11,399300.SZ,973.477,977.644,983.39,963.394,978.154,-4.677,-0.4781,26524138.0,13488346.78
2006-01-12,399300.SZ,983.716,972.389,984.076,968.538,973.477,10.239,1.0518,21896680.0,11028175.836
2006-01-13,399300.SZ,978.809,985.039,988.111,973.685,983.716,-4.907,-0.4988,22281861.0,11215633.222
2006-01-16,399300.SZ,961.439,977.886,977.886,960.879,978.809,-17.37,-1.7746,20305215.0,9896151.721
2006-01-17,399300.SZ,964.29,959.395,965.984,952.234,961.439,2.851,0.2965,16037276.0,8076118.846
2006-01-18,399300.SZ,983.622,964.16,984.672,963.077,964.29,19.332,2.0048,20823518.0,10389841.771
2006-01-19,399300.SZ,991.222,985.232,992.272,978.278,983.622,7.6,0.7727,26455609.0,12714862.349
2006-01-20,399300.SZ,993.34,991.572,994.5,987.06,991.222,2.118,0.2137,26147062.0,12929890.431
2006-01-23,399300.SZ,996.162,993.744,997.332,989.342,993.34,2.822,0.2841,22546019.0,11459294.356
2006-01-24,399300.SZ,999.093,997.791,1006.146,993.394,996.162,2.931,0.2942,24197991.0,13914239.772
2006-01-25,399300.SZ,1009.597,998.828,1009.648,989.514,999.093,10.504,1.0514,21800758.0,11644197.379
2006-02-06,399300.SZ,1033.234,1013.425,1033.354,1012.807,1009.597,23.637,2.3412,25038771.0,13466978.183
2006-02-07,399300.SZ,1029.937,1034.678,1038.501,1019.936,1033.234,-3.297,-0.3191,32954787.0,17669257.813
2006-02-08,399300.SZ,1033.072,1028.445,1033.399,1022.937,1029.937,3.135,0.3044,26986729.0,13692515.175
2006-02-09,399300.SZ,1019.599,1033.192,1033.192,1017.047,1033.072,-13.473,-1.3042,23839601.0,12115067.169
2006-02-10,399300.SZ,1032.337,1019.416,1032.598,1018.482,1019.599,12.738,1.2493,22024453.0,11411753.871
2006-02-13,399300.SZ,1031.614,1034.381,1034.642,1021.839,1032.337,-0.723,-0.07,22157298.0,11454695.538
2006-02-14,399300.SZ,1038.531,1032.645,1038.81,1030.461,1031.614,6.917,0.6705,18556220.0,9730559.347
2006-02-15,399300.SZ,1041.66,1040.332,1048.344,1038.744,1038.531,3.129,0.3013,24784628.0,12747811.508
2006-02-16,399300.SZ,1020.121,1041.665,1041.665,1019.21,1041.66,-21.539,-2.0678,26159892.0,13407183.725
