日期,农林牧渔,基础化工,钢铁,有色金属,电子,家用电器,食品饮料,纺织服饰,轻工制造,医药生物,公用事业,交通运输,房地产,商贸零售,社会服务,综合,建筑材料,建筑装饰,电力设备,国防军工,计算机,传媒,通信,银行,非银金融,汽车,机械设备,煤炭,石油石化,环保,美容护理
1999-12-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,1000,1000,,1000,1000,1000,1000,1000,1000
2000-01-04,1027.66,1025.03,1022.21,1029.82,1043.81,1033.04,1024.64,1024.9,1025.14,1026.71,1024.38,1026.69,1032.15,1037.24,1023.37,1029.81,1022.59,1030.69,1024.7,313.72,1026.13,246.95,1078.71,1043.67,445.32,981.88,276.66,1026.58,1023.34,1022.6,1025.26
2000-01-05,1028.87,1034.06,1022.25,1032.6,1047.01,1022.01,1029.26,1029.68,1032.21,1029.57,1028.22,1031.12,1034.17,1049.97,1031.92,1047.65,1026.04,1029.37,1021.11,312.95,1002.71,249.56,1060.54,1030.93,441.82,984.07,278.46,1024.39,1035.75,1026.9,1016.83
2000-01-06,1065.67,1081.01,1056.28,1071.66,1095.48,1080.93,1068.67,1058.86,1069.82,1067.96,1070.19,1066.99,1069.96,1087.33,1068.37,1083.61,1058.6,1068.99,1055.51,320.52,1051.14,261.12,1114.07,1068.45,457.14,1019.39,289.16,1067.1,1091.2,1069.32,1045.77
2000-01-07,1106.19,1114.65,1102.06,1116.23,1128.03,1147.08,1110.33,1101.92,1107.35,1108.28,1104.79,1109.21,1107.52,1142.12,1103.45,1132.7,1092.81,1107.49,1089.32,338.4,1071.55,268.18,1143.5,1109.98,473.01,1051.07,299.87,1098.21,1111.47,1099.73,1072.1
2000-01-10,1130.06,1128.31,1107.3,1178.55,1144.21,1163.55,1128.06,1133.9,1126.33,1129.94,1126.27,1126.38,1133.78,1174.94,1128.08,1164.68,1115.89,1123.13,1112.08,342.23,1084.85,274.29,1160.24,1138.34,501.68,1069.38,306.25,1118.49,1103.32,1128.96,1109.7
2000-01-11,1104.18,1074.06,1057.53,1115.6,1102.85,1095.61,1100.37,1078.49,1094.73,1086.76,1076.1,1078.71,1083.97,1134.88,1077.84,1115.26,1069.33,1081.36,1066.59,333.81,1031.73,270.32,1089.27,1079.83,470.36,1031.93,293.65,1083.11,1062.66,1098.3,1042.45
2000-01-12,1080.4,1042.69,1032.39,1083.88,1059.7,1064.93,1077.06,1047.47,1059.84,1053.34,1045.81,1050.72,1058.68,1108.82,1042.32,1088.57,1057.03,1057.06,1041.71,325.47,999.9,265.84,1049.22,1036.19,454.16,1026.43,286.9,1072.2,1039.03,1053.6,1010.66
2000-01-13,1066.57,1034.76,1045.07,1074.29,1052.12,1051.97,1065.91,1038.99,1045.29,1048.31,1039.79,1041.98,1051.14,1083.83,1035.9,1075.84,1048.48,1038.77,1034.3,319.4,997.25,264.07,1042.94,1029.35,447.66,1011.52,286.54,1062.32,1038.39,1044.12,999.15
2000-01-14,1062.16,1022.44,1027.91,1060.16,1037.85,1035.04,1050.7,1026.18,1042.81,1036.22,1033.03,1030.26,1038.64,1081.99,1030.25,1063.67,1038.07,1027.91,1033.43,309.99,985.19,260.65,1021.29,1009.79,442.5,1010.07,283.15,1055.85,1032.73,1035.09,975.78
